variable,label,dtype,semantic_type,non_null,missing_pct,unique,min,max,example_values
VMONTH,,float64,numeric,16025,0.0,12,1.0,12.0,"9.0, 10.0, 8.0, 11.0, 1.0"
VDAYR,,float64,numeric,16025,0.0,7,1.0,7.0,"2.0, 3.0, 4.0, 5.0, 6.0"
WAITTIME,,float64,numeric,13272,17.1794,396,0.0,1280.0,"10.0, 40.0, 70.0, 14.0, 2.0"
LOV,,float64,numeric,15328,4.3495,1435,0.0,5722.0,"228.0, 319.0, 551.0, 168.0, 113.0"
AGE,,float64,numeric,16025,0.0,95,0.0,94.0,"23.0, 15.0, 19.0, 0.0, 18.0"
AGER,,float64,numeric,16025,0.0,6,1.0,6.0,"2.0, 1.0, 3.0, 4.0, 5.0"
AGEDAYS,,float64,numeric,428,97.3292,243,1.0,364.0,"298.0, 198.0, 153.0, 351.0, 55.0"
RESIDNCE,,float64,numeric,15763,1.6349,4,1.0,4.0,"1.0, 3.0, 4.0, 2.0"
SEX,,float64,numeric,16025,0.0,2,1.0,2.0,"1.0, 2.0"
ETHUN,,float64,numeric,13692,14.5585,2,1.0,2.0,"2.0, 1.0"
ETHIM,,float64,numeric,16025,0.0,2,1.0,2.0,"2.0, 1.0"
RACEUN,,float64,numeric,13003,18.858,6,1.0,6.0,"1.0, 3.0, 2.0, 6.0, 5.0"
RACER,,float64,numeric,16025,0.0,3,1.0,3.0,"1.0, 3.0, 2.0"
RACERETH,,float64,numeric,16025,0.0,4,1.0,4.0,"1.0, 4.0, 3.0, 2.0"
ARREMS,,float64,numeric,15530,3.0889,2,1.0,2.0,"2.0, 1.0"
AMBTRANSFER,,float64,numeric,2388,85.0983,2,1.0,2.0,"2.0, 1.0"
NOPAY,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PAYPRIV,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PAYMCARE,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PAYMCAID,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PAYWKCMP,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PAYSELF,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PAYNOCHG,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PAYOTH,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PAYDK,,float64,numeric,16025,0.0,2,0.0,1.0,"1.0, 0.0"
PAYTYPER,,float64,numeric,14288,10.8393,7,1.0,7.0,"5.0, 3.0, 1.0, 2.0, 6.0"
TEMPF,,float64,numeric,15088,5.8471,112,896.0,1056.0,"984.0, 983.0, 987.0, 985.0, 986.0"
PULSE,,float64,numeric,15060,6.0218,186,0.0,998.0,"72.0, 67.0, 79.0, 146.0, 97.0"
RESPR,,float64,numeric,15169,5.3417,88,0.0,150.0,"16.0, 18.0, 21.0, 20.0, 38.0"
BPSYS,,float64,numeric,14303,10.7457,189,0.0,289.0,"104.0, 105.0, 144.0, 114.0, 121.0"
BPDIAS,,float64,numeric,14272,10.9392,128,0.0,998.0,"66.0, 67.0, 82.0, 63.0, 74.0"
POPCT,,float64,numeric,15056,6.0468,56,0.0,100.0,"72.0, 96.0, 79.0, 99.0, 100.0"
IMMEDR,,float64,numeric,11873,25.9095,7,0.0,7.0,"3.0, 0.0, 2.0, 5.0, 4.0"
PAINSCALE,,float64,numeric,8970,44.025,11,0.0,10.0,"0.0, 5.0, 3.0, 8.0, 9.0"
SEEN72,,float64,numeric,14308,10.7145,2,1.0,2.0,"2.0, 1.0"
RFV1,,float64,numeric,16000,0.156,517,10050.0,89990.0,"15451.0, 15250.0, 12601.0, 14000.0, 17600.0"
RFV2,,float64,numeric,10220,36.2246,552,10050.0,89990.0,"15300.0, 13050.0, 16450.0, 16800.0, 58050.0"
RFV3,,float64,numeric,6434,59.8502,505,10050.0,89990.0,"12250.0, 10700.0, 15300.0, 14000.0, 58150.0"
RFV4,,float64,numeric,3822,76.1498,442,10050.0,89990.0,"16600.0, 16102.0, 14000.0, 22000.0, 27100.0"
RFV5,,float64,numeric,2106,86.858,351,10050.0,89990.0,"12300.0, 22050.0, 27050.0, 11501.0, 22100.0"
RFV13D,,float64,numeric,16025,0.0,355,0.0,8999.0,"1545.0, 1525.0, 1260.0, 1400.0, 1760.0"
RFV23D,,float64,numeric,16025,0.0,365,0.0,8999.0,"0.0, 1530.0, 1305.0, 1645.0, 1680.0"
RFV33D,,float64,numeric,16025,0.0,351,0.0,8999.0,"0.0, 1225.0, 1070.0, 1530.0, 1400.0"
RFV43D,,float64,numeric,16025,0.0,318,0.0,8999.0,"0.0, 1660.0, 1610.0, 1400.0, 2200.0"
RFV53D,,float64,numeric,16025,0.0,276,0.0,8999.0,"0.0, 1230.0, 2205.0, 2705.0, 1150.0"
EPISODE,,float64,numeric,14424,9.9906,2,1.0,2.0,"2.0, 1.0"
INJURY,,float64,numeric,15030,6.209,3,0.0,2.0,"1.0, 0.0, 2.0"
INJPOISAD,,float64,numeric,15030,6.209,5,1.0,5.0,"3.0, 4.0, 1.0, 2.0, 5.0"
INJURY72,,float64,numeric,3485,78.2527,3,1.0,3.0,"1.0, 2.0, 3.0"
INTENT15,,float64,numeric,4391,72.5991,3,1.0,4.0,"2.0, 1.0, 4.0"
INJURY_ENC,,float64,numeric,3837,76.0562,5,1.0,5.0,"1.0, 2.0, 3.0, 5.0"
CAUSE1,,object,categorical/text,16025,0.0,245,,,"-9, W183, X838, Y998, X501"
CAUSE2,,object,categorical/text,16025,0.0,89,,,"-9, Y936, W19X, Y93H, Y930"
CAUSE3,,object,categorical/text,16025,0.0,32,,,"-9, Y928, Y070, Y922, Y990"
DIAG1,,object,categorical/text,16025,0.0,1549,,,"T833, K297, R000, R059, N898"
DIAG2,,object,categorical/text,16025,0.0,1308,,,"-9, R110, R098, K088, S099"
DIAG3,,object,categorical/text,16025,0.0,989,,,"-9, J069, S025, F251, Z590"
DIAG4,,object,categorical/text,16025,0.0,668,,,"-9, S015, E834, M255, N289"
DIAG5,,object,categorical/text,16025,0.0,466,,,"-9, F039, M255, F259, D509"
PRDIAG1,,float64,numeric,15798,1.4165,2,0.0,1.0,0.0
PRDIAG2,,float64,numeric,8390,47.6443,2,0.0,1.0,"0.0, 1.0"
PRDIAG3,,float64,numeric,4251,73.4727,2,0.0,1.0,"0.0, 1.0"
PRDIAG4,,float64,numeric,2282,85.7598,2,0.0,1.0,"0.0, 1.0"
PRDIAG5,,float64,numeric,1225,92.3557,2,0.0,1.0,"0.0, 1.0"
ETOHAB,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
ALZHD,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
ASTHMA,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CANCER,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CEBVD,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CKD,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
COPD,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CHF,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CAD,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
DEPRN,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
DIABTYP1,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
DIABTYP2,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
DIABTYP0,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
ESRD,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
HPE,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
EDHIV,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
HYPLIPID,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
HTN,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
OBESITY,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
OSA,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
OSTPRSIS,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
SUBSTAB,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
NOCHRON,,float64,numeric,16025,0.0,3,0.0,2.0,"1.0, 0.0, 2.0"
TOTCHRON,,float64,numeric,15766,1.6162,13,0.0,13.0,"0.0, 2.0, 1.0, 5.0, 3.0"
DIAGSCRN,,float64,numeric,16025,0.0,3,0.0,2.0,"1.0, 0.0, 2.0"
ABG,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
BAC,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
BMP,,float64,numeric,16025,0.0,2,0.0,1.0,"1.0, 0.0"
BNP,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
BUNCREAT,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CARDENZ,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CBC,,float64,numeric,16025,0.0,2,0.0,1.0,"1.0, 0.0"
CMP,,float64,numeric,16025,0.0,2,0.0,1.0,"1.0, 0.0"
BLOODCX,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
TRTCX,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
URINECX,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
WOUNDCX,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
OTHCX,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
DDIMER,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
ELECTROL,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
GLUCOSE,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
LACTATE,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
LFT,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PTTINR,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
OTHERBLD,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
CARDMON,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
EKG,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
HIVTEST,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
FLUTEST,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
PREGTEST,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
TOXSCREN,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
URINE,,float64,numeric,16025,0.0,2,0.0,1.0,"1.0, 0.0"
OTHRTEST,,float64,numeric,16025,0.0,2,0.0,1.0,"0.0, 1.0"
